NAME                    VERSION                 TYPE                      
Simple Launcher         1.1.0.14                binary  (+17 duplicates)  
adduser                 3.134                   deb                       
anyio                   4.15.1                  python                    
apt                     2.6.1                   deb                       
base-files              12.4+deb12u15           deb                       
base-passwd             3.6.1                   deb                       
bash                    5.2.15-2+b13            deb                       
blinker                 1.9.0                   python                    
bsdutils                1:2.38.1-5+deb12u3      deb                       
build                   1.6.1                   python                    
ca-certificates         20250419~deb12u1        deb                       
cachecontrol            0.14.4                  python                    
certifi                 2026.7.22               python                    
cffi                    2.1.1                   python                    
charset-normalizer      3.5.1                   python                    
cleo                    2.1.0                   python                    
click                   8.5.0                   python                    
coreutils               9.1-1                   deb                       
crashtest               0.4.1                   python                    
cryptography            50.0.1                  python                    
dash                    0.5.12-2                deb                       
debconf                 1.5.82                  deb                       
debian-archive-keyring  2023.3+deb12u2          deb                       
debianutils             5.7-0.5~deb12u1         deb                       
diffutils               1:3.8-4                 deb                       
distlib                 0.4.3                   python                    
dpkg                    1.21.23                 deb                       
dulwich                 1.2.15                  python                    
e2fsprogs               1.47.0-2+b2             deb                       
fastjsonschema          2.22.2                  python                    
filelock                3.32.6                  python                    
findpython              0.8.0                   python                    
findutils               4.9.0-4                 deb                       
flask                   2.3.3                   python                    
gcc-12-base             12.2.0-14+deb12u1       deb                       
gpgv                    2.2.40-1.1+deb12u2      deb                       
grep                    3.8-5                   deb                       
gzip                    1.12-1                  deb                       
h11                     0.16.0                  python                    
hostname                3.23+nmu1               deb                       
httpcore                1.0.9                   python                    
httpx                   0.28.1                  python                    
idna                    3.19                    python                    
init-system-helpers     1.65.2+deb12u1          deb                       
installer               1.0.1                   python                    
itsdangerous            2.2.0                   python                    
jaraco-classes          3.4.0                   python                    
jaraco-context          6.1.2                   python                    
jaraco-functools        4.6.0                   python                    
jeepney                 0.9.0                   python                    
jinja2                  3.1.6                   python                    
keyring                 25.7.0                  python                    
libacl1                 2.3.1-3                 deb                       
libapt-pkg6.0           2.6.1                   deb                       
libattr1                1:2.5.1-4               deb                       
libaudit-common         1:3.0.9-1               deb                       
libaudit1               1:3.0.9-1               deb                       
libblkid1               2.38.1-5+deb12u3        deb                       
libbz2-1.0              1.0.8-5+b1              deb                       
libc-bin                2.36-9+deb12u14         deb                       
libc6                   2.36-9+deb12u14         deb                       
libcap-ng0              0.8.3-1+b3              deb                       
